handset_type,average_throughput_kbps,average_TCP_retransmission_bytes
A-Link Telecom I. Cubot A5,23184,20809914.27034193
A-Link Telecom I. Cubot Note Plus,6527,602349
A-Link Telecom I. Cubot Note S,8515,41344479
A-Link Telecom I. Cubot Nova,55667,135840
A-Link Telecom I. Cubot Power,69126,7799
A-Link Telecom I. Cubot R9,2862,16681
A-Link Telecom I. Cubot X18 Plus,12108,1335816.5
Acer Liquid M220,0,20809914.27034193
Acer Liquid Z220,388,115153
Acer Liquid Z530,221,138472
Acer Liquid Z630,295,682147
Acer Liquid Zest 4G,28828,6590
Acer Liquid Zest Plus,898.5,10480624.635170965
Acer M310,196,12490470.562205156
Acer V370 Acer V370 Liquid E2 Duo,7130,5821
Acer Zx Z130,461,6226
Adar Stanley Mobile S231,355,79490
Alif Communicati. Pulian Cm84,14,20809914.27034193
Apple iPad (A1823),13400.55,5093254.854068385
Apple iPad (A1954),27385.222222222223,5259668.837853762
Apple iPad 2 (A1396),3454,11320052.635170965
Apple iPad 3 (A1430),14714.5,193385.5
Apple iPad 4 (A1460),24107.375,12856636.351378225
Apple iPad Air (A1475),9073.948148148147,13046759.353543712
Apple iPad Air 2 (A1567),13742.011904761905,9106158.006780643
Apple iPad Mini (A1455),831.8,9629010.508136772
Apple iPad Mini (A1490),42902,3228683.5
Apple iPad Mini (A1600),1345,20809914.27034193
Apple iPad Mini 4 (A1550),4885.666666666667,9762136.70813677
Apple iPad Pro (A1652),5996.174321111111,13979816.180227952
Apple iPad Pro 10.5 (A1709),8366.253827222223,6939085.090113976
Apple iPad Pro 12.9 (A1671),43524.5,40702.5
Apple iPad Pro 9.7 (A1674),5956.489583333333,14448915.560860077
Apple iPhone 3Gs (A1303),584.25,7014548.312336198
Apple iPhone 4 (A1332),1112.1338797814208,9167593.107769625
Apple iPhone 4S (A1387),1510.4068376068376,9883475.717150435
Apple iPhone 4S (A1431),249,20809914.27034193
Apple iPhone 5 (A1428) A1428S,9826.055555555555,8664337.630650537
Apple iPhone 5 (A1429),5374.602272727273,9308685.220442912
Apple iPhone 5C (A1456),4016.4074074074074,14332247.688733807
Apple iPhone 5C (A1507),7464.697916666667,11381232.442041144
Apple iPhone 5C (A1529),8093.492063492064,13424314.093988629
Apple iPhone 5C (A1532),7039.3421052631575,11865414.800893715
Apple iPhone 5S (A1453),7579.8533333333335,8792946.082187481
Apple iPhone 5S (A1457),8761.091071428571,9890994.780674571
Apple iPhone 5S (A1528),347,20809914.27034193
Apple iPhone 5S (A1530),14527.041666666666,14426415.559711555
Apple iPhone 5S (A1533),6497.967857142857,11700370.283239951
Apple iPhone 6 (A1549),5883.48969249872,16537913.376943674
Apple iPhone 6 (A1586),5631.896834912549,16249403.460381497
Apple iPhone 6 Plus (A1522),7335.575335407926,14729773.216388453
Apple iPhone 6 Plus (A1524),5901.437097266407,16228204.915040307
Apple iPhone 6S (A1633),6082.0679912448295,17256104.816822518
Apple iPhone 6S (A1688),5113.1998741267325,17449022.61371215
Apple iPhone 6S (A1700),7699.264705882353,16283970.236143827
Apple iPhone 6S Plus (A1634),7623.92768079365,17092705.385353453
Apple iPhone 6S Plus (A1687),4647.88835962645,17855081.37906139
Apple iPhone 6S Plus (A1699),1644.857142857143,17863711.66029308
Apple iPhone 7 (A1660),6288.419094312326,17901414.727492873
Apple iPhone 7 (A1778),7577.587072778629,16125743.818403665
Apple iPhone 7 (A1779),6386.743086419753,16040713.430764616
Apple iPhone 7 (A1780),33,20809914.27034193
Apple iPhone 7 Plus (A1661),5600.141231345029,17244665.97245687
Apple iPhone 7 Plus (A1784),7333.033195242007,15878693.99440398
Apple iPhone 7 Plus (A1785),3237.2272727272725,19431615.824386213
Apple iPhone 8 (A1863),6322.613397060933,17135793.62279099
Apple iPhone 8 (A1905),6197.434501008436,17052962.889457203
Apple iPhone 8 (A1906),8897.3125,17249143.95866189
Apple iPhone 8 Plus (A1864),5674.671859377105,19109051.61908378
Apple iPhone 8 Plus (A1897),6884.438146208618,17316648.782024413
Apple iPhone 8 Plus (A1898),406.6666666666667,17352089.558618274
Apple iPhone 8 Plus (A1899),23,20809914.27034193
Apple iPhone Se (A1662),4445.812068965517,17346386.31597941
Apple iPhone Se (A1723),4612.322286485675,17113568.82169398
Apple iPhone X (A1865),6332.594751079235,16968713.50505988
Apple iPhone X (A1901),7460.968972549061,16322484.819257677
Apple iPhone X (A1902),39,20809914.27034193
Apple iPhone Xr (A1984),15495.897268541667,13298020.25257036
Apple iPhone Xr (A2105),6556.370069802084,17492861.808372084
