Actual,Predicted
389514372.1169816,389526157.10961133
164493149.4467361,164562909.62786618
145430601.03518716,145323712.23569208
115469667.26166548,115481189.79071064
168693489.02451342,168702321.17798635
236579502.72656024,236585954.2521405
189053117.86019635,189060100.80966273
340669075.3559242,340676439.4447388
1282125867.74865,1281320469.1784801
133465312.690641,133453515.61461402
440258330.1205622,440256105.3124916
405674136.6804751,405679329.163219
167784583.71607432,167779556.91297796
66709476.68216328,66720127.36827865
43318589.713486426,43306131.88746657
822484884.1765532,822618232.4446721
988978844.79941,988445056.162079
129338918.04971416,129345251.46250486
350182145.57013226,350180187.9252622
134338245.81750125,134320340.62886208
79421675.68970357,79420161.48024693
438561921.3962791,438481644.23282903
707625438.9299248,707636394.9612935
672145643.0710056,672152494.8662188
715284507.6895975,715959503.3029193
110895778.97747011,110901790.97232862
337514141.6153068,337613880.9115621
457266283.9040392,457996700.84923613
32095660.080158807,32081533.67067258
69797475.44962242,69786255.71361843
349548915.8215875,349546078.4836734
146117989.5024534,146116678.7624296
1096723515.689844,1095783349.7755303
219896043.31472573,219912141.83916306
104256514.6509805,104263710.36337918
238205733.59579477,238279951.9264574
436808280.9341993,436801756.6994356
131632777.21313196,131612167.66898498
351528126.593389,351430796.66996557
489903203.82599074,489686464.9217736
428564260.5598484,428625688.9585748
413468811.2779892,413280945.77362436
310559084.14820373,310560376.2411468
694538062.7477158,694967445.0674175
349000282.5572315,348646589.2958529
454531227.8147972,454540159.24599403
56104622.367214575,56097717.0639475
167877563.6713041,167874104.54757932
260404154.7565641,260407207.2043866
204641110.64185485,204645501.7196962
552240006.6436571,552209334.0277482
257110305.61013165,257117490.9995145
337608469.08382887,337609869.21738696
600957682.5926186,600863538.7503409
342247767.1199589,342248576.56269556
276966153.9321121,276967206.49252915
982422862.4483212,981697510.2565614
339984116.2173065,339983124.2217186
1407632419.5676162,1414442048.4002378
323200450.7198189,323202963.2592528
417538077.4516028,417533697.7904274
79666187.48491743,79669249.4436614
329433522.1693284,329435823.3331606
506623513.5963189,506529406.8607808
404257766.75142086,404312213.2611458
44354655.16479637,44352609.67160234
375592610.997546,375439945.7738691
623682553.9416627,623665680.0823942
442115225.3937133,442119056.6435991
234620579.617584,234692737.62066463
115149659.0292767,115246503.93694279
165483555.94040337,165631544.63589194
226283981.05747116,226280833.22716907
151761044.74829212,151765692.51536453
231231005.10514727,231231474.2568186
233347114.6596928,233358102.43376505
377085814.7359664,377089396.09681433
498625680.23253137,498644487.7770195
230103307.8311106,230099878.28296983
55524978.41146821,55530086.125310175
188278787.2368187,188287634.57666978
376818404.80946827,376860384.87351495
412943267.2042287,412960508.8952738
218867469.378238,218864156.56957296
318273475.8635369,318248516.07580817
262683614.44048864,262694201.69700775
304846081.2784438,304850089.4510443
85251409.50125393,85230024.66917193
122849246.8818242,122873649.62397431
671103369.4253534,671426341.0817257
63977484.16039957,63980005.24310086
72053082.06618914,72077419.3246605
258171495.54851127,258177008.2777687
126712543.36692408,126728399.79307586
43015487.69663623,43922241.60105381
198188078.5243876,198199500.1975564
416694235.3941209,416631927.6744206
167378586.88060176,167314710.75510505
298262774.0279811,298258889.0115019
125598467.01670706,125734750.08049105
386722918.6305008,386722988.2191646
461926719.737943,461981530.3240556
179934726.9279334,179955787.86287647
203474775.3133888,203467488.10068306
77466895.93036492,77463791.16142198
365612603.7979627,365612273.3217642
62721836.57963766,62634128.23561305
270465124.50485367,270466039.87654877
320704324.15700144,320690182.29545647
391867883.1936926,391915363.1246294
192738361.9734141,192730985.73444322
123320614.41903578,123321695.40823056
422983189.65991074,422991389.7158786
121614731.51742944,121593870.55153917
34332023.886136174,34043004.683787316
370061680.9368757,370059562.32083297
337844244.73918927,337967101.76662034
112268863.74052316,112419858.16248104
232002065.7229722,231981682.00990054
235029571.74524865,235009881.60013494
199629482.7248538,199797344.96346498
262627941.58431587,262623736.8744992
124074744.4413047,124176155.3937801
321646984.30011714,321644301.2609064
144218036.3096845,144172722.69305792
716684859.6314732,716677659.2580262
523503158.7142361,523448650.20175314
395787960.65020406,395853873.4063157
536036340.5894039,536042381.695228
181444531.56053168,181558222.72078732
398649362.9524152,398858803.32412386
185120226.9422796,185125736.97818783
110695631.37504452,110709461.42111519
63384524.8368192,63388037.00918157
250233431.39829195,250199399.5389355
146873617.42322305,146947585.06945145
95076674.48365034,95070257.99703161
248637077.17731783,248781178.09108785
180816896.88650227,180810278.84747756
743442398.2557083,743155345.2976531
275801691.2276389,275806783.15776604
1030682213.2832992,1032040381.318973
38643575.77857269,38664738.40778383
142559207.87728357,142641496.21531203
152293216.62074292,152287106.82071716
436577619.0196365,436085500.0463116
815180244.5576267,815088619.4964596
264334815.6709651,264335773.76451337
95358277.10319096,95370588.63273384
350582121.9552254,350318305.1369534
374451145.69017065,374566307.0977895
717831385.7313355,717432713.0427043
68973292.235561,68968386.3822586
